perc_snaps,player_link,player_name,position,season,snaps,team,week
0.41,/players/E/ErviTy00.htm,Tyler Ervin,RB,2017,27,Houston Texans,2
0.26,/players/F/ForeDO00.htm,D'Onta Foreman,RB,2017,17,Houston Texans,2
1.0,/players/H/HalxAn00.htm,Andre Hal,DB,2017,64,Houston Texans,2
0.98,/players/M/McKiBe00.htm,Benardrick McKinney,LB,2017,63,Houston Texans,2
0.92,/players/J/JackKa99.htm,Kareem Jackson,DB,2017,59,Houston Texans,2
0.91,/players/W/WattJ.00.htm,J.J. Watt,DL,2017,58,Houston Texans,2
0.86,/players/M/MoorCo00.htm,Corey Moore,DB,2017,55,Houston Texans,2
0.86,/players/C/ClowJa00.htm,Jadeveon Clowney,LB,2017,55,Houston Texans,2
0.73,/players/J/JohnKe04.htm,Kevin Johnson,DB,2017,47,Houston Texans,2
0.67,/players/C/CunnZa00.htm,Zach Cunningham,LB,2017,43,Houston Texans,2
0.55,/players/R/ReadD.00.htm,D.J. Reader,DL,2017,35,Houston Texans,2
0.42,/players/P/PleaEd00.htm,Eddie Pleasant,DB,2017,27,Houston Texans,2
0.41,/players/H/HeatJo00.htm,Joel Heath,DL,2017,26,Houston Texans,2
0.36,/players/C/ColeDy00.htm,Dylan Cole,LB,2017,23,Houston Texans,2
0.34,/players/J/JoseJo20.htm,Johnathan Joseph,DB,2017,22,Houston Texans,2
0.28,/players/G/GilcMa00.htm,Marcus Gilchrist,DB,2017,18,Houston Texans,2
0.22,/players/C/CoviCh00.htm,Christian Covington,DL,2017,14,Houston Texans,2
0.4,/players/L/LechSh20.htm,Shane Lechler,P,2017,12,Houston Texans,2
0.23,/players/F/FairKa01.htm,Ka'imi Fairbairn,K,2017,7,Houston Texans,2
